"","partial.name","regex","full.name"
"6060","Njudungsgymnasiet","njudungsgymnasiet",""
"6061","S-studenter","s studenter",""
"6062","Ordförande i Nordsjökommissionen","ordförande i nordsjökommissionen",""
"6063","Svenskt näringsliv","svenskt näringsliv",""
"6064","Signum","signum",""
"6065","Ängelholms gymnasium","ängelholms gymnasium",""
"6066","Sundsgymnasiet","sundsgymnasiet",""
"6067","Sveriges ambassadör till EU","sveriges ambassadör till eu",""
"6068","Animal Welfare and Trade","animal welfare and trade",""
"6069"," Gaia","gaia",""
"6070","Citizens´Climate Lobby","citizens climate lobby",""
"6071","European Association of Automotive Suppliers","european association of automotive suppliers",""
"6072","European Association of CCP Clearing Houses","european association of ccp clearing houses",""
"6073","Svenska institutet för standarder","svenska institutet för standarder",""
"6074","European Association of Cooperative Banks (EACB)","european association of cooperative banks eacb",""
"6075","Svensk skogsindustri","svensk skogsindustri",""
"6076","Biodlarnas riksförbund","biodlarnas riksförbund",""
"6077","Vattenfall","vattenfall",""
"6078","Cembureau","cembureau",""
"6079","European Association of Co-operative Banks (EACB)","european association of co operative banks eacb",""
"6080"," Stockholms universitet","stockholms universitet",""
"6081","Rudbecksgymnasiet Örebro","rudbecksgymnasiet örebro",""
"6082","Endoctrine Society","endoctrine society",""
"6083","Kommisionär för miljö och hälsa","kommisionär för miljö och hälsa",""
"6084","Riksidrottsförbundet","riksidrottsförbundet",""
"6085","European Association of Corporate Treasurers (EACT)","european association of corporate treasurers eact",""
"6086","Energiföretagen/Stockholm Exergi","energiföretagen stockholm exergi",""
"6087","Boliden","boliden",""
"6088","Kommissionär för krishantering","kommissionär för krishantering",""
"6089","COP-25","cop 25",""
"6090","Friedrich Ebert Stiftung","friedrich ebert stiftung",""
"6091","5i12","5i12",""
"6092","Sveriges ambassadör till NATO","sveriges ambassadör till nato",""
"6093","Svenska praktikanter regionkontoren i Bryssel","svenska praktikanter regionkontoren i bryssel",""
"6094","Endocrine society","endocrine society",""
"6095","Child10","child10",""
"6096","Animal Welfare Foundation/Tierschutzbund Zürich","animal welfare foundation tierschutzbund zürich",""
"6097","Kommissionsordförandens kabinett","kommissionsordförandens kabinett",""
"6098","European Association of Corporate Treasurers","european association of corporate treasurers",""
"6099"," FleishmanHillard","fleishmanhillard",""
"6100","Volvo cars","volvo cars",""
"6101","EU40 youtube influencers","eu40 youtube influencers",""
"6102","Västsahars ministerdelegat","västsahars ministerdelegat",""
"6103","WHO","who",""
"6104","T&E","t e",""
"6105","RFSU","rfsu",""
"6106","Nordisk Råds","nordisk råds",""
"6107","Svenskt vatten","svenskt vatten",""
"6108","Northvolt","northvolt",""
"6109","Cruelty free","cruelty free",""
"6110","Special Olympics Sweden","special olympics sweden",""
"6111","Unga Örnar","unga örnar",""
"6112","SNS chefsutbildning","sns chefsutbildning",""
"6113","Svenska PEN & Reportrar utan gränser","svenska pen reportrar utan gränser",""
"6114","SAP Stockholm stad","sap stockholm stad",""
"6115","LRF GOTLAND","lrf gotland",""
"6116","EU:s hälsokommissionär","eu s hälsokommissionär",""
"6117","HDP","hdp",""
"6118","Stora Enso","stora enso",""
"6119","Lärare från Lars Kaggskolan","lärare från lars kaggskolan",""
"6120","CAAT-Europe","caat europe",""
"6121","Karlbergsgymnasiet i Åmål","karlbergsgymnasiet i åmål",""
"6122","HYBRIT","hybrit",""
"6123","Electro Mobility (ABB","electro mobility abb",""
"6124"," Blue Solutions)","blue solutions",""
"6125","Praktikanter Södra Norrland","praktikanter södra norrland",""
"6126","Organisationen 12 Hours For Life","organisationen 12 hours for life",""
"6127","Snuskommisisonen","snuskommisisonen",""
"6128","EU-kommissionens Vicepresident med ansvar för klimat","eu kommissionens vicepresident med ansvar för klimat",""
"6129","Västsaharas ministerdelegat","västsaharas ministerdelegat",""
"6130","EU:s energikommissionär","eu s energikommissionär",""
"6131","Allmännyttan","allmännyttan",""
"6132","PA International","pa international",""
"6133","Miljökemiprofessor","miljökemiprofessor",""
"6134"," Stockholms Universitet","stockholms universitet",""
"6135"," FERN","fern",""
"6136"," Conservation International Europe","conservation international europe",""
"6137","EU:s kommissionär för krishantering","eu s kommissionär för krishantering",""
"6138","Presidenten för Kashmirregionen i Pakistan","presidenten för kashmirregionen i pakistan",""
"6139","EUCOCO","eucoco",""
"6140","DG ENVI Generaldrektör","dg envi generaldrektör",""
"6141","DG CLIMA Generaldirektör","dg clima generaldirektör",""
"6142","Europeiska kemikaliemyndighetens Generaldirektör","europeiska kemikaliemyndighetens generaldirektör",""
"6143","European Association of National Builders","european association of national builders",""
"6144"," Merchants Associations and Manufacturers","merchants associations and manufacturers",""
"6145","European Asylum Support Office","european asylum support office",""
"6146","NXP Semiconductors","nxp semiconductors",""
"6147","altona Diagnostics","altona diagnostics",""
"6148","European Automobile Manufacturers' Association","european automobile manufacturers association",""
"6149","European Automobile Manufacturers' Association – ACEA","european automobile manufacturers association acea",""
"6150","European Bank for Reconstruction and Development","european bank for reconstruction and development",""
"6151","European Bank for Reconstruction and Development (EBRD)","european bank for reconstruction and development ebrd",""
"6152","European Banking Authority (EBA)","european banking authority eba",""
"6153","Kellogg Northern Europe GMBH","kellogg northern europe gmbh",""
"6154","Verband der Chemischen Industrie e.V. (VCI)","verband der chemischen industrie e v vci",""
"6155","einzA Lackfabrik GmbH","einza lackfabrik gmbh",""
"6156","Zentralverband der deutschen Seehafenbetriebe e.V.","zentralverband der deutschen seehafenbetriebe e v",""
"6157","alsterarbeit gGmbH","alsterarbeit ggmbh",""
"6158","Breeze Technologies","breeze technologies",""
"6159","Golden Agri-Resources Ltd","golden agri resources ltd",""
"6160","CNRP","cnrp",""
"6161","DERMALOG Identification Systems GmbH","dermalog identification systems gmbh",""
"6162","DJI","dji",""
"6163","METRO AG","metro ag",""
"6164","Aurubis AG","aurubis ag",""
"6165","European Crop Protection Association (ECPA)","european crop protection association ecpa",""
"6166","Bundesverband der Vietnamesischen Flüchtlinge in der Bundesrepublik Deutschland e.V.","bundesverband der vietnamesischen flüchtlinge in der bundesrepublik deutschland e v",""
"6167","Daughters of Witches","daughters of witches",""
"6168","ELNET","elnet",""
"6169","Stripe","stripe",""
"6170","Confederation of Norwegian Enterprise (NHO)","confederation of norwegian enterprise nho",""
"6171"," EBA","eba",""
"6172","DEKRA e.V.","dekra e v",""
"6173","EUROGATE GmbH & Co. KGaA","eurogate gmbh co kgaa",""
"6174"," KG","kg",""
"6175","DAKOSY Datenkommunikationssystem AG","dakosy datenkommunikationssystem ag",""
"6176","Federation of German Consumer Organisations","federation of german consumer organisations",""
"6177","SME Connect","sme connect",""
"6178","1&1","1 1",""
"6179","German taxadvisors","german taxadvisors",""
"6180"," (Deutscher Steuerberaterverband e.V.)","deutscher steuerberaterverband e v",""
"6181","German Shipowners Association","german shipowners association",""
"6182","BDI (Federation of German Industry)","bdi federation of german industry",""
"6183","HDE (the German Retail Federation)","hde the german retail federation",""
"6184","ZDH (the German Skilled Crafts Organisation)","zdh the german skilled crafts organisation",""
"6185","Verband der Automobilindustrie VDA","verband der automobilindustrie vda",""
"6186","Meat and Livestock Australia","meat and livestock australia",""
"6187","NIKE","nike",""
"6188","Friedrich Naumann Foundation for Freedom","friedrich naumann foundation for freedom",""
"6189","Nordmetall","nordmetall",""
"6190","André Körner                       ArcelorMittal Germany Holding","andré körner arcelormittal germany holding",""
"6191"," Dr. Helmut Lachmund Dillinger Hüttenwerke","dr helmut lachmund dillinger hüttenwerke",""
"6192"," Tilo Reichardt Georgsmarienhütte Holding","tilo reichardt georgsmarienhütte holding",""
"6193"," Dr. Matthias Weinberg Thyssenkrupp","dr matthias weinberg thyssenkrupp",""
"6194"," Henning W. Reichenbacher Wirtschaftsvereinigung Stahl","henning w reichenbacher wirtschaftsvereinigung stahl",""
"6195","Dr. Christian Hartel","dr christian hartel",""
"6196"," Member of Wacker Chemie AG’s Executive Board","member of wacker chemie ag s executive board",""
"6197"," Director-General of Transatlantic Policy Network","director general of transatlantic policy network",""
"6198","Prof. Dr. Dr. h.c. Clemens Fuest","prof dr dr h c clemens fuest",""
"6199"," President of the ifo Institute and Director of the Center for Economic Studies","president of the ifo institute and director of the center for economic studies",""
"6200","Wacker Chemie AG","wacker chemie ag",""
"6201","Münchner Europa Konferenz e.V.","münchner europa konferenz e v",""
"6202","vbw – Vereinigung der Bayerischen Wirtschaft e. V.","vbw vereinigung der bayerischen wirtschaft e v",""
"6203","Meeting with Australian Mission’s Trade and Economic section","meeting with australian mission s trade and economic section",""
"6204"," Mr Ben Jarvis","mr ben jarvis",""
"6205","European Diplomacy Department","european diplomacy department",""
"6206"," Chinese Academy of Social Sciences","chinese academy of social sciences",""
"6207","The American Chamber of Commerce to the European Union (AmCham EU)","the american chamber of commerce to the european union amcham eu",""
"6208","VDI Technologiezentrum GmbH","vdi technologiezentrum gmbh",""
"6209","Volkswagen AG 6504541970-40","volkswagen ag 6504541970 40",""
"6210"," 757195013270-80","757195013270 80",""
"6211","Bill Gates Foundation","bill gates foundation",""
"6212","European Banking Federation","european banking federation",""
"6213","European Banking Federation (EBF)","european banking federation ebf",""
"6214","volkswagen","volkswagen",""
"6215"," skoda auto","skoda auto",""
"6216","EC - Commissioner Maros SEFCOVIC","ec commissioner maros sefcovic",""
"6217","US steel Slovakia","us steel slovakia",""
"6218","Združenie pre výrobu a využitie biopalív","združenie pre výrobu a využitie biopalív",""
"6219","European League Against Rheumatism","european league against rheumatism",""
"6220","Automotive Industry Association of the Slovak Republic","automotive industry association of the slovak republic",""
"6221","Slovak gas and oil association","slovak gas and oil association",""
"6222","SK Permanent Representation - national experts","sk permanent representation national experts",""
"6223","SK permanent representation","sk permanent representation",""
"6224","European Boating Industry (74989093163-18)","european boating industry 74989093163 18",""
"6225","European Branded Clothing Alliance","european branded clothing alliance",""
"6226","European Broadcasting Union","european broadcasting union",""
"6227","European Builders Confederation (EBC)","european builders confederation ebc",""
"6228","European Building Automation and Controls Association (EUBAC)","european building automation and controls association eubac",""
"6229"," Schneider Electric","schneider electric",""
"6230"," Danfoss","danfoss",""
"6231","European Business and Nature Summit","european business and nature summit",""
"6232","European CanCer Organisation - ECCO","european cancer organisation ecco",""
"6233","European Cancer Organisation (ECCO)","european cancer organisation ecco",""
"6234"," Eastern Europe Pfizer","eastern europe pfizer",""
"6235"," National Institute of Public Health of Slovenia","national institute of public health of slovenia",""
"6236"," Sklodowska-Curie Memorial Cancer Center and Institute of Oncology (Warsaw)","sklodowska curie memorial cancer center and institute of oncology warsaw",""
"6237"," Center For Oncology Faculty Of Medicine of the University Of Split","center for oncology faculty of medicine of the university of split",""
"6238"," World Health Organisation","world health organisation",""
"6239"," International Brain Tumour Alliance","international brain tumour alliance",""
"6240","European Cancer Patients Coalition","european cancer patients coalition",""
"6241"," GE Healthcare","ge healthcare",""
"6242"," Horizon Europe Cancer Mission Board","horizon europe cancer mission board",""
"6243","EURAKTIV","euraktiv",""
"6244","Vertretung des Landes Rheinland-Pfalz","vertretung des landes rheinland pfalz",""
"6245","Hajo Hinrichs","hajo hinrichs",""
"6246"," Markus Guhl","markus guhl",""
"6247","Simon Bauer","simon bauer",""
"6248"," Sieta van Keimpema","sieta van keimpema",""
"6249","Martina Eichner","martina eichner",""
"6250"," Miriam Goldtschalt","miriam goldtschalt",""
"6251","Interessengemeinschaft Wasserkraft im Landkreis Fulda","interessengemeinschaft wasserkraft im landkreis fulda",""
"6252","Heinrich-Böll-Stiftung","heinrich böll stiftung",""
"6253","Verband für handwerkliche Milchverarbeitung im ökologischen Landbau e.V.","verband für handwerkliche milchverarbeitung im ökologischen landbau e v",""
"6254","Deutsche Umwelthilfe e.V.","deutsche umwelthilfe e v",""
"6255","EUROPEAN COMPOST NETWORK ECN e.V.","european compost network ecn e v",""
"6256","VR-Bank Bad Salzungen Schmalkalden","vr bank bad salzungen schmalkalden",""
"6257"," VR-Bank Eisenach-Ronhausen","vr bank eisenach ronhausen",""
"6258"," Raiffeisenbank Gotha","raiffeisenbank gotha",""
"6259","Fern","fern",""
"6260","Euro-Toques Deutschland e.V.","euro toques deutschland e v",""
"6261","BIO AUSTRIA – Verein zur Förderung des biologischen Landbaus","bio austria verein zur förderung des biologischen landbaus",""
"6262","Bund Ökologische Lebensmittelwirtschaft e.V. (BÖLW)","bund ökologische lebensmittelwirtschaft e v bölw",""
"6263"," IFOAM EU","ifoam eu",""
"6264","International Federation of Organic Agriculture Movements EU Regional Group","international federation of organic agriculture movements eu regional group",""
"6265"," (IFOAM) 67128251296-84","ifoam 67128251296 84",""
"6266","Arbeitsgemeinschaft bäuerliche Landwirtschaft e.V.","arbeitsgemeinschaft bäuerliche landwirtschaft e v",""
"6267","Matthias Schickhofer","matthias schickhofer",""
"6268"," EuroNatur Augustyn Mykos","euronatur augustyn mykos",""
"6269"," Dzikie Karparty Mihail Hanzu","dzikie karparty mihail hanzu",""
"6270","Stefan Hipp","stefan hipp",""
"6271"," Hipp GmbH & Co. Produktion KG","hipp gmbh co produktion kg",""
"6272"," 751354015023-07","751354015023 07",""
"6273","Dr. Friedhelm von Mering BÖLW","dr friedhelm von mering bölw",""
"6274"," Bund Ökologische Lebensmittelwirtschaft e.V.","bund ökologische lebensmittelwirtschaft e v",""
"6275"," 166921329014-91","166921329014 91",""
"6276","Bund Ökologische Lebensmittelwirtschaft e.V.","bund ökologische lebensmittelwirtschaft e v",""
"6277"," Grüne Woche Berlin","grüne woche berlin",""
"6278","Dr. Felix Prinz zu Löwenstein (BÖLW)","dr felix prinz zu löwenstein bölw",""
"6279"," Heinrich-Böll-Stiftung","heinrich böll stiftung",""
"6280","NEULAND Verein für tiergerechte und umweltschonende Nutztierhaltung","neuland verein für tiergerechte und umweltschonende nutztierhaltung",""
"6281","Grüne Woche Berlin","grüne woche berlin",""
"6282"," Waldeigentümer","waldeigentümer",""
"6283","Intergroup Rumra & Smart Villages","intergroup rumra smart villages",""
"6284","Jörg-Andreas Krüger","jörg andreas krüger",""
"6285"," Präsident NABU","präsident nabu",""
"6286","Wolfgang Rades","wolfgang rades",""
"6287"," Loro Parque","loro parque",""
"6288","Bürgermeister aus der Metropolregion FrankfurtRheinMain","bürgermeister aus der metropolregion frankfurtrheinmain",""
"6289","OPTA","opta",""
"6290","Der Malser Weg aus Südtirol","der malser weg aus südtirol",""
"6291","Deutsche Umwelthilfe e. V.","deutsche umwelthilfe e v",""
"6292","Slow Food Europe","slow food europe",""
"6293","Kirche Obermöllrich","kirche obermöllrich",""
"6294","Grüne NRW","grüne nrw",""
"6295","Internationalen Metzgermeister-Verband (IMV)","internationalen metzgermeister verband imv",""
"6296","Indigene Vertreter Brasilien","indigene vertreter brasilien",""
"6297"," und FERN","und fern",""
"6298"," Deutscher Naturschutzring","deutscher naturschutzring",""
"6299"," BUND","bund",""
"6300"," Deutscher Verband für Landschaftspflege","deutscher verband für landschaftspflege",""
"6301","LV Rheinland Pfalz","lv rheinland pfalz",""
"6302","Good Food Good Farming","good food good farming",""
"6303","Salus Medienpreis","salus medienpreis",""
"6304","PROVIEH","provieh",""
"6305","Universität Marburg","universität marburg",""
"6306","Uwe Kekeritz MdB Mitglied im Ausschuss für wirtschaftliche Zusammenarbeit und Entwicklung Sprecher für Entwicklungspolitik Bundestagsfraktion Bündnis 90 / Die Grünen","uwe kekeritz mdb mitglied im ausschuss für wirtschaftliche zusammenarbeit und entwicklung sprecher für entwicklungspolitik bundestagsfraktion bündnis 90 die grünen",""
"6307","Designierte Kommissarin für Gesundheit","designierte kommissarin für gesundheit",""
"6308","Slow Food Youth Akademie","slow food youth akademie",""
"6309","Jan Plagge","jan plagge",""
"6310"," Bioland","bioland",""
"6311","Staatssekretär für den Bereich Bundes- und Europaangelegenheiten in Hessen","staatssekretär für den bereich bundes und europaangelegenheiten in hessen",""
"6312","LV RLP","lv rlp",""
"6313","Ulrike Höfken","ulrike höfken",""
"6314"," Umweltministerin Rheinland-Pfalz","umweltministerin rheinland pfalz",""
"6315","Janusz Wojciechowski designierter Agrarkommissar","janusz wojciechowski designierter agrarkommissar",""
"6316","Kommission","kommission",""
"6317","Leiter Abteilung Agrar in der Ständigen Vertretung Deutschlands bei der EU","leiter abteilung agrar in der ständigen vertretung deutschlands bei der eu",""
"6318","No","no",""
"6319","Hessische Landesministerin für Bundes- und Europaangelegenheite","hessische landesministerin für bundes und europaangelegenheite",""
"6320","Verbraucherzentrale","verbraucherzentrale",""
"6321","Winzer-Verband","winzer verband",""
"6322","Eduardo Cuoco","eduardo cuoco",""
"6323"," INFOAM EU","infoam eu",""
"6324","Euroopan Parlamentin Suomen toimisto","euroopan parlamentin suomen toimisto",""
"6325","The Sustainable Development Solutions Network (SDSN)","the sustainable development solutions network sdsn",""
"6326"," The Institute for European Environmental Policy (IEEP)","the institute for european environmental policy ieep",""
"6327","Globe EU","globe eu",""
"6328","MTK","mtk",""
"6329","Columbia Law School","columbia law school",""
"6330","European Cancer Summit","european cancer summit",""
"6331","Cocoa Barometer","cocoa barometer",""
"6332","European Central Bank","european central bank",""
"6333","Venice School of Human Rights","venice school of human rights",""
"6334","Swedish campaign platform for HRDD legislation","swedish campaign platform for hrdd legislation",""
"6335","Pellervo ry","pellervo ry",""
"6336","Ambassador of India","ambassador of india",""
"6337","World Cocoa Foundation","world cocoa foundation",""
"6338","European Women on Boards","european women on boards",""
"6339","European Central Bank (ECB)","european central bank ecb",""
"6340","Dalit Solidarity Network","dalit solidarity network",""
"6341","European Biogas Associations (EBA)","european biogas associations eba",""
"6342","Wilmar","wilmar",""
"6343","Finnish Institute of International Affairs (FIIA)","finnish institute of international affairs fiia",""
"6344","European Centre for Volunteering","european centre for volunteering",""
"6345","YLE","yle",""
"6346","The European Branded Clothing Alliance (EBCA)","the european branded clothing alliance ebca",""
"6347","Cotton Council International (CCI)","cotton council international cci",""
"6348","Opintokeskus Visio","opintokeskus visio",""
"6349"," Vihreät Nuoret","vihreät nuoret",""
"6350","NGO coalition working on the Due Diligence & Corporate Accountability","ngo coalition working on the due diligence corporate accountability",""
"6351","European Chamber of Commerce in Korea (ECCK)","european chamber of commerce in korea ecck",""
"6352","Green European Foundation","green european foundation",""
"6353","Afore Consulting","afore consulting",""
"6354","Eettisen kaupan puolesta ry","eettisen kaupan puolesta ry",""
"6355","European Chamber of Commerce in Vietnam","european chamber of commerce in vietnam",""
"6356","Centre for Responsible Business (CRB)","centre for responsible business crb",""
"6357","Globe EU (The Network for Environmental legislators)","globe eu the network for environmental legislators",""
"6358","European network for Women In Leadership","european network for women in leadership",""
"6359","Suomen YK-nuoret","suomen yk nuoret",""
"6360","Kuurojen liitto ry","kuurojen liitto ry",""
"6361","Business & Human Rights Resource Centre","business human rights resource centre",""
"6362","Bioenergia ry","bioenergia ry",""
"6363","ACCA","acca",""
"6364","MINESParisTech","minesparistech",""
"6365","Primark","primark",""
"6366","The European Confederation of Directors' Associations (ecoDa)","the european confederation of directors associations ecoda",""
"6367","European Chemicals Agency","european chemicals agency",""
"6368","Federal Ministry of Labour and Social Affairs Germany","federal ministry of labour and social affairs germany",""
"6369","Europe-forum","europe forum",""
"6370","JEF Finland","jef finland",""
"6371","Visio","visio",""
"6372","Technology Industry","technology industry",""
"6373"," Chemical Industry","chemical industry",""
"6374"," Finnish Forest Industry","finnish forest industry",""
"6375","Kekäläinen & Company","kekäläinen company",""
"6376"," Helsinki City Theatre","helsinki city theatre",""
"6377","German Federal Ministry for Economic Cooperation and Development","german federal ministry for economic cooperation and development",""
"6378","Parliament of Georgia","parliament of georgia",""
"6379","The Federation of Finnish Technology Industries","the federation of finnish technology industries",""
"6380","Russian NGO ”Committee Against Torture”","russian ngo committee against torture",""
"6381","Responsible Business Conduct","responsible business conduct",""
"6382","UNGP","ungp",""
"6383","Copenhagen Fashion Summit","copenhagen fashion summit",""
"6384"," European Cocoa Association","european cocoa association",""
"6385","GLOBE EU","globe eu",""
"6386","DROI","droi",""
"6387","Otso Sillanaukee","otso sillanaukee",""
"6388","Amsterdam Metropolitan Area","amsterdam metropolitan area",""
"6389","Oxfam Sverige","oxfam sverige",""
"6390","European Chemical Industry Council - EU transparency no 64879142323-90","european chemical industry council eu transparency no 64879142323 90",""
"6391"," Kemianteollisuus ry (Chemical Industry Federation of Finland) - EU transparency no 07682415745-25","kemianteollisuus ry chemical industry federation of finland eu transparency no 07682415745 25",""
"6392","European Issuers","european issuers",""
"6393","Finnish Biocycle and Biogas Association","finnish biocycle and biogas association",""
"6394","SASB (Sustainability Accounting Standards Board)","sasb sustainability accounting standards board",""
"6395","Stand with Hong Kong","stand with hong kong",""
"6396","Earthsight","earthsight",""
"6397","FIDH (International Federation for Human Rights)","fidh international federation for human rights",""
"6398","Shift","shift",""
"6399","Finnish Paper Workers","finnish paper workers",""
"6400","New Democracy Intergroup in EP and Global Forum on Modern Direct Democracy","new democracy intergroup in ep and global forum on modern direct democracy",""
"6401","MP of French Parliament","mp of french parliament",""
"6402","Permanent representation of Finland to the EU","permanent representation of finland to the eu",""
"6403","Valmet","valmet",""
"6404","MPs from Finland","mps from finland",""
"6405","Human RIghts Watch","human rights watch",""
"6406","Freedom Now","freedom now",""
"6407","Georgian Civil Society","georgian civil society",""
"6408","Finnish Commerce Federation","finnish commerce federation",""
"6409","Maria Logan","maria logan",""
"6410","CEO and Secretary General of New Europeans","ceo and secretary general of new europeans",""
"6411","CMI ASEAN unit","cmi asean unit",""
"6412","EFTA Parliamentarians","efta parliamentarians",""
"6413","Head of the Mission of Thailand to the EU","head of the mission of thailand to the eu",""
"6414","Foreign Policy","foreign policy",""
"6415","DEMO and IDEA","demo and idea",""
"6416","Climate activist","climate activist",""
"6417","Mission of Japan","mission of japan",""
"6418","EuroCoop","eurocoop",""
"6419","FERMA","ferma",""
"6420","Mission of Finland to NATO","mission of finland to nato",""
"6421","European Chemicals Agency (ECHA)","european chemicals agency echa",""
"6422","Faktabaari (FactBar)","faktabaari factbar",""
"6423","Georgian Mission","georgian mission",""
"6424","Government of Vietnam","government of vietnam",""
"6425","Metallinjalostajat","metallinjalostajat",""
"6426"," Boliden","boliden",""
"6427"," Norilsk Nikkel","norilsk nikkel",""
"6428"," Umicore","umicore",""
"6429"," Aurubis","aurubis",""
"6430","Metallinjalostajat - Association of Finnish Steel and Metal Producers","metallinjalostajat association of finnish steel and metal producers",""
"6431"," Eurometaux","eurometaux",""
"6432","Teosto","teosto",""
"6433"," Gramex","gramex",""
"6434","EUROPEAN CIVIC FORUM","european civic forum",""
"6435","Sahateollisuus ry","sahateollisuus ry",""
"6436"," the Finnish Sawmill Organisation","the finnish sawmill organisation",""
"6437","European Coalitio for Corporate Justice","european coalitio for corporate justice",""
"6438"," Observatorio de Responsabilidad Social Corporativa","observatorio de responsabilidad social corporativa",""
"6439","European coalition to end violence against women","european coalition to end violence against women",""
"6440","Alliance pour la confiance numérique","alliance pour la confiance numérique",""
"6441"," schneider","schneider",""
"6442"," Air France-KLM","air france klm",""
"6443","Senlimo","senlimo",""
"6444","Digital SME France","digital sme france",""
"6445","CyberTaskForce","cybertaskforce",""
"6446","Fédération française des maisons de l'Europe","fédération française des maisons de l europe",""
"6447","France Digitale","france digitale",""
"6448","JEF Europe","jef europe",""
"6449","European Cocoa Asociation","european cocoa asociation",""
"6450","European Cocoa Association","european cocoa association",""
"6451","Unie van Waterschappen","unie van waterschappen",""
"6452","Babyn Yar Holocaust Memorial Center","babyn yar holocaust memorial center",""
"6453","OÖ Landesverband für Bienenzucht","oö landesverband für bienenzucht",""
"6454","Verbindungsbüro des Landes Oberösterreich in Brüssel","verbindungsbüro des landes oberösterreich in brüssel",""
"6455","Österreichische Raumordnungskonferenz","österreichische raumordnungskonferenz",""
"6456","Arbeiterkammer Oberösterreich","arbeiterkammer oberösterreich",""
"6457","Peace & Security Department of the African Union (AU)","peace security department of the african union au",""
"6458","CICI (informal group of major companies and trade bodies from across the creative industries)","cici informal group of major companies and trade bodies from across the creative industries",""
"6459","Ständige Vertretung Österreichs beim Europarat","ständige vertretung österreichs beim europarat",""
"6460","Österreichischer Gewerkschaftsbund (ÖGB)","österreichischer gewerkschaftsbund ögb",""
"6461","European Commission - Cabinet Gentiloni - Mrs Estelle Goeger","european commission cabinet gentiloni mrs estelle goeger",""
"6462"," DG CONNECT","dg connect",""
"6463"," DG HOME","dg home",""
"6464","European Commissioner on Innovation","european commissioner on innovation",""
"6465"," Research","research",""
"6466"," Culture","culture",""
"6467"," Education & Youth","education youth",""
"6468"," Mariya Gabriel","mariya gabriel",""
"6469","PWC","pwc",""
"6470","Finance Finland","finance finland",""
"6471","European Commissioner on International Partnerships","european commissioner on international partnerships",""
"6472"," Jutta Jurpilainen","jutta jurpilainen",""
"6473","European Committee for Co-operation of the Machine Tool Industries (CECIMO) Identification number: 79464041975-17","european committee for co operation of the machine tool industries cecimo identification number 79464041975 17",""
"6474","Babyn Yar Holocaust Memorial Center (BYHMC)","babyn yar holocaust memorial center byhmc",""
"6475","Policy Advisor EU Fisheries","policy advisor eu fisheries",""
"6476","Taiwan EU Representation","taiwan eu representation",""
"6477","European Committee for Standardisation","european committee for standardisation",""
"6478","EU Fish Alliance","eu fish alliance",""
"6479","Evonik Head of Office","evonik head of office",""
"6480","Forum des diasporas africaines","forum des diasporas africaines",""
"6481","Togo Focus","togo focus",""
"6482","EAPPI Netzwerk","eappi netzwerk",""
"6483","Concord EU","concord eu",""
"6484","CARE","care",""
"6485","CELEP","celep",""
"6486","International Planned Parenthood Federation - European Network (IPPF EN)","international planned parenthood federation european network ippf en",""
"6487","Forum parlementaire européen sur la population et le développement (EPF)","forum parlementaire européen sur la population et le développement epf",""
"6488","Coalition of European Lobbies for Eastern African Pastoralism","coalition of european lobbies for eastern african pastoralism",""
"6489","E.O.T.O","e o t o",""
"6490","Vulcan Consulting Ltd.","vulcan consulting ltd",""
"6491","EndFGM NGO","endfgm ngo",""
"6492","Europäischer Steuerzahlerbund","europäischer steuerzahlerbund",""
"6493","European Communities Trade Mark Association (ECTA)","european communities trade mark association ecta",""
"6494"," 932781112187-50","932781112187 50",""
"6495","Denkstatt Slovensko s. r. o.","denkstatt slovensko s r o",""
"6496","Zony bez pesticidov","zony bez pesticidov",""
"6497","Buglife","buglife",""
"6498","Legis Telum - Združenie vlastníkov strelných zbraní","legis telum združenie vlastníkov strelných zbraní",""
"6499","Across Private Investments","across private investments",""
"6500","EU Dog & Cat Alliance","eu dog cat alliance",""
"6501","IEEP","ieep",""
"6502","Crafting Plastics","crafting plastics",""
"6503","Slovnaft","slovnaft",""
"6504","Greenway","greenway",""
"6505","geothermal energy","geothermal energy",""
"6506"," energy supplies","energy supplies",""
"6507"," EU Energy policy","eu energy policy",""
"6508","H. Boll Stiftung","h boll stiftung",""
"6509","Konfederácie odborových zväzov","konfederácie odborových zväzov",""
"6510","Fakulta chemickej a potravinarskej technologie STU","fakulta chemickej a potravinarskej technologie stu",""
"6511","ChemSec","chemsec",""
"6512","FOUR PAWS International","four paws international",""
"6513","GA Drilling","ga drilling",""
"6514","FAO","fao",""
"6515","European Association of Endocrinology","european association of endocrinology",""
"6516","Jaguar Europe","jaguar europe",""
"6517","TestBiotech","testbiotech",""
"6518","Bill & Melinda Gates Foundation","bill melinda gates foundation",""
"6519","Slovnaft SK","slovnaft sk",""
"6520","Can Europe","can europe",""
"6521","Habitat for Humanity International","habitat for humanity international",""
"6522","European Bureau For Conservation & Development","european bureau for conservation development",""
"6523","Wine producers","wine producers",""
"6524","Agrární komora CR","agrární komora cr",""
"6525"," Zemedelský svaz CR","zemedelský svaz cr",""
"6526"," Slovenská zemedelská a potravinárská komora","slovenská zemedelská a potravinárská komora",""
"6527","Nadace partnerství","nadace partnerství",""
"6528"," Greenpeace SK","greenpeace sk",""
"6529","European Community Shipowner's Associations (ECSA)","european community shipowner s associations ecsa",""
