"","full.name","regex"
"5945","Asociatia Forestierilor din Romania - ASFOR (ASFOR)","asociatia forestierilor din romania - asfor (asfor)"
"5946","IOTA Stiftung (IOTA Foundation)","iota stiftung (iota foundation)"
"5947","Deutscher Lottoverband e.V. (DLV)","deutscher lottoverband e.v. (dlv)"
"5948","International Sport Organization (ISO)","international sport organization (iso)"
"5949","Fnac Darty","fnac darty"
"5950","Hidramar (Hidramar)","hidramar (hidramar)"
"5951","Vogelbescherming Nederland (VBN)","vogelbescherming nederland (vbn)"
"5952","Lhasa Limited (LL)","lhasa limited (ll)"
"5953","IMAGINE WORLD LTD (IMAGINE)","imagine world ltd (imagine)"
"5954","Asociacion Herpetologica Española (AHE)","asociacion herpetologica española (ahe)"
"5955","Stichting Changing Markets","stichting changing markets"
"5956","Unioncamere Europa asbl","unioncamere europa asbl"
"5957","LightingEurope (LE)","lightingeurope (le)"
"5958","Convention of National Associations of Electrical Engineers of Europe (EUREL)","convention of national associations of electrical engineers of europe (eurel)"
"5959","FNFE-MPE (FORUM NATIONAL DE LA FACTURE ELECTRONIQUE ET DES MARCHES PUBLICS ELECTRONIQUES) (FNFE-MPE)","fnfe-mpe (forum national de la facture electronique et des marches publics electroniques) (fnfe-mpe)"
"5960","Finnish Federation of Consulting Firms SKOL (SKOL)","finnish federation of consulting firms skol (skol)"
"5961","Association de l'économie numérique (Acsel)","association de l'économie numérique (acsel)"
"5962","SOCOTEC Equipements (SOCOTEC)","socotec equipements (socotec)"
"5963","Faiveley Transport SA (Wabtec Group)","faiveley transport sa (wabtec group)"
"5964","ASOCIACION ESPAÑOLA DE EMPRESAS DE PRODUCTOS DE MARCA (PROMARCA)","asociacion española de empresas de productos de marca (promarca)"
"5965","CANARIAS TUNA EXPORT A.I.E (CANARIAS TUNA)","canarias tuna export a.i.e (canarias tuna)"
"5966","Associação Nacional das Organizações de Produtores da Pesca do Cerco (ANOPCERCO)","associação nacional das organizações de produtores da pesca do cerco (anopcerco)"
"5967","Vereniging Industrieel Oppervlaktebehandelend Nederland (ION)","vereniging industrieel oppervlaktebehandelend nederland (ion)"
"5968","Gielda Papierów Wartosciowych w Warszawie S.A. (GPW)","gielda papierów wartosciowych w warszawie s.a. (gpw)"
"5969","Green City Ferries AB (GCF)","green city ferries ab (gcf)"
"5970","FIGIEFA - Fédération Internationale des Grossistes, Importateurs & Exportateurs en Fournitures Automobiles / International Federation of Automotive Distributors (FIGIEFA)","figiefa - fédération internationale des grossistes, importateurs & exportateurs en fournitures automobiles / international federation of automotive distributors (figiefa)"
"5971","ehealth unit of Institute of Informatics & Telecommunications ofNCSR Demokritos (eheath unit - IIT)","ehealth unit of institute of informatics & telecommunications ofncsr demokritos (eheath unit - iit)"
"5972","Oswald Hackl e.U.","oswald hackl e.u."
"5973","Craft AG","craft ag"
"5974","BIO-LUTIONS International AG","bio-lutions international ag"
"5975","Versicherungsombudsmann e. V.","versicherungsombudsmann e. v."
"5976","European Dialogue on Internet Governance (EuroDIG)","european dialogue on internet governance (eurodig)"
"5977","Stichting Health Action International (HAI)","stichting health action international (hai)"
"5978","Federación Española de Empresarios Profesionales de Automoción (CONEPA)","federación española de empresarios profesionales de automoción (conepa)"
"5979","FEDERAZIONE NAZIONALE COHEIRS (COHEIRS)","federazione nazionale coheirs (coheirs)"
"5980","PAN-Nordic Card Association (PNC)","pan-nordic card association (pnc)"
"5981","European Pet Food Industry Federation (FEDIAF)","european pet food industry federation (fediaf)"
"5982","MERCI CHARITY BOUTIQUE (MCB)","merci charity boutique (mcb)"
"5983","European Confederation of Outdoor Employers (EC-OE)","european confederation of outdoor employers (ec-oe)"
"5984","Association of Latvian Organic Agriculture (ALOA)","association of latvian organic agriculture (aloa)"
"5985","CEWE Stiftung & Co. KGaA","cewe stiftung & co. kgaa"
"5986","European Industrial Pharmacists Group (EIPG)","european industrial pharmacists group (eipg)"
"5987","Hellenic Association of Pharmaceutical Companies (SFEE)","hellenic association of pharmaceutical companies (sfee)"
"5988","British Association for Screen Entertainment (BASE)","british association for screen entertainment (base)"
"5989","Vereniging Gasopslag Nederland (VGN)","vereniging gasopslag nederland (vgn)"
"5990","Stichting eIFL.net (EIFL)","stichting eifl.net (eifl)"
"5991","Aquafil SpA","aquafil spa"
"5992","British Ceramic Confederation (BCC)","british ceramic confederation (bcc)"
"5993","UITP - International Association of Public Transport (UITP)","uitp - international association of public transport (uitp)"
"5994","Arbetsgivarverket","arbetsgivarverket"
"5995","Air Transport Action Group (ATAG)","air transport action group (atag)"
"5996","RM Handelsmedien GmbH & Co.KG","rm handelsmedien gmbh & co.kg"
"5997","<U+0395><U+039B><U+039B><U+0397><U+039D><U+0399><U+039A><U+0397> <U+039F><U+03A1><U+039D><U+0399>T<U+039F><U+039B><U+039F>G<U+0399><U+039A><U+0397> <U+0395><U+03A4><U+0391><U+0399><U+03A1><U+0395><U+0399><U+0391>","e<U+03BB><U+03BB><U+03B7><U+03BD><U+03B9><U+03BA><U+03B7> <U+03BF><U+03C1><U+03BD><U+03B9><U+03B8><U+03BF><U+03BB><U+03BF><U+03B3><U+03B9><U+03BA><U+03B7> eta<U+03B9><U+03C1>e<U+03B9>a"
"5998","McCain Alimentaire","mccain alimentaire"
"5999","Globethics.net Foundation (Globethics.net)","globethics.net foundation (globethics.net)"
"6000","Òmnium Cultural (ÒC)","òmnium cultural (òc)"
"6001","AEM - Associação de Empresas Emitentes de Valores Cotados em Mercado (aka Portuguese Issuers) (AEM)","aem - associação de empresas emitentes de valores cotados em mercado (aka portuguese issuers) (aem)"
"6002","International Association of Dry Cargo Shipowners (Intercargo)","international association of dry cargo shipowners (intercargo)"
"6003","Actuarial Association of Europe (AAE)","actuarial association of europe (aae)"
"6004","European Organisation of the Sawmill industry (EOS)","european organisation of the sawmill industry (eos)"
"6005","Network of European Financial Institutions for Small and Medium Sized Enterprises (NEFI)","network of european financial institutions for small and medium sized enterprises (nefi)"
"6006","Prism'emploi (Prism'emploi)","prism'emploi (prism'emploi)"
"6007","SPYGEN","spygen"
"6008","Asociación de Empresas Comunitarias en Sociedades Mixtas de Pesca (ACEMIX)","asociación de empresas comunitarias en sociedades mixtas de pesca (acemix)"
"6009","Porcel - Industria Portuguesa de Porcelanas, SA (Porcel)","porcel - industria portuguesa de porcelanas, sa (porcel)"
"6010","European Fire Sprinkler Network (EFSN)","european fire sprinkler network (efsn)"
"6011","The European Group of Valuers' Associations (TEGOVA)","the european group of valuers' associations (tegova)"
"6012","International Federation of Freight Forwarders Associations (FIATA)","international federation of freight forwarders associations (fiata)"
"6013","Michael Succow Stiftung (MSS)","michael succow stiftung (mss)"
"6014","International Nut and Dried Fruit Council Foundation (INC)","international nut and dried fruit council foundation (inc)"
"6015","GMB trade union (GMB)","gmb trade union (gmb)"
"6016","Associazione Italiana Zincatura (AIZ)","associazione italiana zincatura (aiz)"
"6017","Capitals Coalition","capitals coalition"
"6018","Linking Environment And Farming (LEAF)","linking environment and farming (leaf)"
"6019","ACP Civil Society Forum (ACP CSF)","acp civil society forum (acp csf)"
"6020","European Major Exhibition Centres Association (EMECA)","european major exhibition centres association (emeca)"
"6021","End Female Genital Mutilation - European Network (End FGM EU)","end female genital mutilation - european network (end fgm eu)"
"6022","France Assos Santé","france assos santé"
"6023","Qualitätsgemeinschaft Bio-Mineralwasser e.V. (Bio-MW)","qualitätsgemeinschaft bio-mineralwasser e.v. (bio-mw)"
"6024","Steinbeis Beratungszentren GmbH (SBZ)","steinbeis beratungszentren gmbh (sbz)"
"6025","THE CONFEDERATION OF THE SPANISH EMPLOYERS AND INDUSTRIES IN ARAGÓN (CEOE ARAGON)","the confederation of the spanish employers and industries in aragón (ceoe aragon)"
"6026","Parkinsons's UK","parkinsons's uk"
"6027","Confederación Empresarial Turolense (CEOE Teruel)","confederación empresarial turolense (ceoe teruel)"
"6028","European Network of Migrant Women (ENOMW)","european network of migrant women (enomw)"
"6029","CIRFS: European Man-made Fibres Association (CIRFS)","cirfs: european man-made fibres association (cirfs)"
"6030","Swedish Medical Association (SMA (SLF in Swedish))","swedish medical association (sma (slf in swedish))"
"6031","Biomedical Alliance in Europe (the BioMed Alliance)","biomedical alliance in europe (the biomed alliance)"
"6032","Verband der Diagnostica-Industrie (VDGH)","verband der diagnostica-industrie (vdgh)"
"6033","ITRUST","itrust"
"6034","Deutsches Kinderhilfswerk e.V.","deutsches kinderhilfswerk e.v."
"6035","eBikeLabs","ebikelabs"
"6036","Grifols, S.A.","grifols, s.a."
"6037","figshare","figshare"
"6038","Gdynia Cotton Association (GCA)","gdynia cotton association (gca)"
"6039","Doc Morris NV (DocMorris)","doc morris nv (docmorris)"
"6040","European Forum of technical and Vocational Education and Training (EfVET)","european forum of technical and vocational education and training (efvet)"
"6041","Ge<U+03BD><U+03B9><U+03BA><U+03AE> S<U+03C5><U+03BD><U+03BF>µ<U+03BF>sp<U+03BF><U+03BD>d<U+03AF>a <U+0395>pa<U+03B3><U+03B3>e<U+03BB>µat<U+03B9><U+03CE><U+03BD> <U+0392><U+03B9><U+03BF>te<U+03C7><U+03BD><U+03CE><U+03BD> <U+0395>µp<U+03CC><U+03C1><U+03C9><U+03BD> <U+0395><U+03BB><U+03BB><U+03AC>da<U+03C2> (GSEVEE)","<U+03B3>e<U+03BD><U+03B9><U+03BA><U+03AE> s<U+03C5><U+03BD><U+03BF>µ<U+03BF>sp<U+03BF><U+03BD>d<U+03AF>a epa<U+03B3><U+03B3>e<U+03BB>µat<U+03B9><U+03CE><U+03BD> ß<U+03B9><U+03BF>te<U+03C7><U+03BD><U+03CE><U+03BD> eµp<U+03CC><U+03C1><U+03C9><U+03BD> e<U+03BB><U+03BB><U+03AC>da<U+03C2> (gsevee)"
"6042","Bundesverband Praktizierender Tierärzte e. V. (bpt)","bundesverband praktizierender tierärzte e. v. (bpt)"
"6043","PIERRE FABRE SA","pierre fabre sa"
"6044","Pentaferte Italia Srl","pentaferte italia srl"
"6045","VšI ""Žiedine ekonomika"" (ZE)","vši ""žiedine ekonomika"" (ze)"
"6046","The European Steel Association (EUROFER)","the european steel association (eurofer)"
"6047","ARD-Verbindungsbüro Brüssel","ard-verbindungsbüro brüssel"
"6048","Voluntary Organisations in Cooperation in Emergencies (VOICE asbl)","voluntary organisations in cooperation in emergencies (voice asbl)"
"6049","PETA Science Consortium International e.V. (PSCI)","peta science consortium international e.v. (psci)"
"6050","Verein Gegen Tierfabriken - Association against Animal Factories (VGT)","verein gegen tierfabriken - association against animal factories (vgt)"
"6051","Aena, S.M.E. S.A.","aena, s.m.e. s.a."
"6052","Tradeweb Europe Limited (Tradeweb)","tradeweb europe limited (tradeweb)"
"6053","Landi Renzo S.p.A.","landi renzo s.p.a."
"6054","Floricode","floricode"
"6055","RELOOP PLATFORM","reloop platform"
"6056","European Food & Feed Cultures Association (EFFCA)","european food & feed cultures association (effca)"
"6057","European Telecommunications Network Operators' Association (ETNO)","european telecommunications network operators' association (etno)"
"6058","European Organic Certifiers Council (EOCC)","european organic certifiers council (eocc)"
"6059","European Mobile Seed Association (EMSA)","european mobile seed association (emsa)"
"6060","Rail Working Group (RWG)","rail working group (rwg)"
"6061","Genossenschaftsverband Bayern (GVB)","genossenschaftsverband bayern (gvb)"
"6062","Tea & Herbal Infusions Europe (THIE)","tea & herbal infusions europe (thie)"
"6063","Bundesverband Reifenhandel und Vulkaniseur-Handwerk e.V. (BRV)","bundesverband reifenhandel und vulkaniseur-handwerk e.v. (brv)"
"6064","Institution of Occupational Safety and Health (IOSH)","institution of occupational safety and health (iosh)"
"6065","ASOCIACIÓN ESPAÑOLA DE FABRICANTES DE CEREALES EN COPOS O EXPANDIDOS (AEFC)","asociación española de fabricantes de cereales en copos o expandidos (aefc)"
"6066","Royal Mail Group (RMG)","royal mail group (rmg)"
"6067","Biopolymer International","biopolymer international"
"6068","LEVA-EU vzw","leva-eu vzw"
"6069","European Business Chamber of Commerce in Indonesia (EuroCham)","european business chamber of commerce in indonesia (eurocham)"
"6070","MaaS Global Ltd","maas global ltd"
"6071","European Club Association (ECA)","european club association (eca)"
"6072","Reconnaître - Open Recognition Alliance","reconnaître - open recognition alliance"
"6073","Conseil National des Greffiers des Tribunaux de Commerce (CNGTC)","conseil national des greffiers des tribunaux de commerce (cngtc)"
"6074","Fundacja na rzecz Odzysku Opakowan Aluminiowych RECAL (Fundacja RECAL)","fundacja na rzecz odzysku opakowan aluminiowych recal (fundacja recal)"
"6075","Alitalia Società Aerea Italiana S.p.A. in Amministrazione Straordinaria","alitalia società aerea italiana s.p.a. in amministrazione straordinaria"
"6076","Alberto Carnesecca (AC)","alberto carnesecca (ac)"
"6077","UK Music 2009 Ltd (UK Music)","uk music 2009 ltd (uk music)"
"6078","Associação Portuguesa dos Industriais Grandes Consumidores de Energia Eléctrica (APIGCEE)","associação portuguesa dos industriais grandes consumidores de energia eléctrica (apigcee)"
"6079","European Federation of Intelligent Energy Efficiency Services (EFIEES)","european federation of intelligent energy efficiency services (efiees)"
"6080","Collectif Alerte Fret Belge (CAFB)","collectif alerte fret belge (cafb)"
"6081","FRUCOM - European Federation of the Trade in Dried Fruit, Edible Nuts, Processed Fruit & Vegetables, Processed Fishery Products, Spices and Honey (FRUCOM)","frucom - european federation of the trade in dried fruit, edible nuts, processed fruit & vegetables, processed fishery products, spices and honey (frucom)"
"6082","Groupement Européen des Sociétés d'Auteurs et Compositeurs (GESAC)","groupement européen des sociétés d'auteurs et compositeurs (gesac)"
"6083","Federatia Organizatiilor Neguvernamentale pentru Dezvoltare / The Romanian NGDO Platform (FOND)","federatia organizatiilor neguvernamentale pentru dezvoltare / the romanian ngdo platform (fond)"
"6084","Suomen Biokierto ja Biokaasu ry (SBB)","suomen biokierto ja biokaasu ry (sbb)"
"6085","Europaverband der Selbständigen - Deutschland e.V. (ESD)","europaverband der selbständigen - deutschland e.v. (esd)"
"6086","Association suisse pour le label de cybersécurité (ASLaC)","association suisse pour le label de cybersécurité (aslac)"
"6087","Federació Valenciana d'Associacions de Familiars i Amics de Persones amb Alzheimer (FEVAFA)","federació valenciana d'associacions de familiars i amics de persones amb alzheimer (fevafa)"
"6088","Gosciniec 4 Zywiolów","gosciniec 4 zywiolów"
"6089","ECOLOGY SYSTEM SRL","ecology system srl"
"6090","European Specialist Nurses Organisation (ESNO)","european specialist nurses organisation (esno)"
"6091","EU-Russia Industrialists' Round Table (IRT)","eu-russia industrialists' round table (irt)"
"6092","European Veterinarians in Education, Research and Industry (EVERI)","european veterinarians in education, research and industry (everi)"
"6093","Svenska Flygbranschen (SFB)","svenska flygbranschen (sfb)"
"6094","Modern Education and Research Institute (MERI)","modern education and research institute (meri)"
"6095","Deutscher Richterbund, Bund der Richterinnen und Richter, Staatsanwältinnen und Staatsanwälte (DRB)","deutscher richterbund, bund der richterinnen und richter, staatsanwältinnen und staatsanwälte (drb)"
"6096","Bankia S.A. (Bankia)","bankia s.a. (bankia)"
"6097","Sustainable Biomass Program (SBP)","sustainable biomass program (sbp)"
"6098","The Ethanol REACH Association (EtOH-REACH)","the ethanol reach association (etoh-reach)"
"6099","Internet Watch Foundation (IWF)","internet watch foundation (iwf)"
"6100","Asociación de Empresas de Energías Renovables (APPA Renovables)","asociación de empresas de energías renovables (appa renovables)"
"6101","European and Mediterranean Horseracing Federation (EMHF)","european and mediterranean horseracing federation (emhf)"
"6102","European Biopharmaceutical Enterprises (EBE)","european biopharmaceutical enterprises (ebe)"
"6103","Asocia<U+021B>ia Camera Franceza de Comer<U+021B>, Industrie <U+0219>i Agricultura în România (CCIFER)","asocia<U+021B>ia camera franceza de comer<U+021B>, industrie <U+0219>i agricultura în românia (ccifer)"
"6104","Tet<U+03B9><U+03BA><U+03AE> F<U+03C9><U+03BD><U+03AE>","<U+03B8>et<U+03B9><U+03BA><U+03AE> f<U+03C9><U+03BD><U+03AE>"
"6105","Bundesverband der Deutschen Luftverkehrswirtschaft e. V. (BDL)","bundesverband der deutschen luftverkehrswirtschaft e. v. (bdl)"
"6106","Humanists International","humanists international"
"6107","ConocoPhillips (COP)","conocophillips (cop)"
"6108","FUNDACIÓN MENIÑOS (FUNDACIÓN MENIÑOS)","fundación meniños (fundación meniños)"
"6109","BPI (British Recorded Music Industry) Ltd (BPI)","bpi (british recorded music industry) ltd (bpi)"
"6110","Future for Religious Heritage (FRH)","future for religious heritage (frh)"
"6111","Systembolaget Aktiebolag (Systembolaget)","systembolaget aktiebolag (systembolaget)"
"6112","FEPORT (FEPORT)","feport (feport)"
"6113","FoodWIN (FoodWIN)","foodwin (foodwin)"
"6114","X-FAB Silicon Foundries SE (X-FAB)","x-fab silicon foundries se (x-fab)"
"6115","GoGaS Goch GmbH & Co. KG","gogas goch gmbh & co. kg"
"6116","Groupement de Défense Sanitaire de la Sarthe (GDS72)","groupement de défense sanitaire de la sarthe (gds72)"
"6117","Cluster <U+0392><U+03B9><U+03BF><U+03BF><U+03B9><U+03BA><U+03BF><U+03BD><U+03BF>µ<U+03AF>a<U+03C2> <U+03BA>a<U+03B9> <U+03A0>e<U+03C1><U+03B9>ß<U+03AC><U+03BB><U+03BB><U+03BF><U+03BD>t<U+03BF><U+03C2> <U+0394><U+03C5>t<U+03B9><U+03BA><U+03AE><U+03C2> <U+039C>a<U+03BA>ed<U+03BF><U+03BD><U+03AF>a<U+03C2> (CluBE)","cluster ß<U+03B9><U+03BF><U+03BF><U+03B9><U+03BA><U+03BF><U+03BD><U+03BF>µ<U+03AF>a<U+03C2> <U+03BA>a<U+03B9> pe<U+03C1><U+03B9>ß<U+03AC><U+03BB><U+03BB><U+03BF><U+03BD>t<U+03BF><U+03C2> d<U+03C5>t<U+03B9><U+03BA><U+03AE><U+03C2> µa<U+03BA>ed<U+03BF><U+03BD><U+03AF>a<U+03C2> (clube)"
"6118","COBRA INSTALACIONES Y SERVICIOS,S.A. (Cobra)","cobra instalaciones y servicios,s.a. (cobra)"
"6119","SOLAR SYSTEM RESOURCES CORPORATION Sp. z o. o.","solar system resources corporation sp. z o. o."
"6120","Zwiazek Pracodawców Business Centre Club (ZP BCC)","zwiazek pracodawców business centre club (zp bcc)"
"6121","Arab NGO Network for Development (ANND)","arab ngo network for development (annd)"
"6122","Finance Norway (Finans Norge)","finance norway (finans norge)"
"6123","EUREKA Association AISBL (EUREKA)","eureka association aisbl (eureka)"
"6124","(SETE) GREEK TOURISM CONFEDERATION (SETE)","(sete) greek tourism confederation (sete)"
"6125","International Council of Museums (ICOM)","international council of museums (icom)"
"6126","LEONHARD KURZ Stiftung & Co. KG (KURZ)","leonhard kurz stiftung & co. kg (kurz)"
"6127","Arbeitsgemeinschaft kommunale und kirchliche Altersversorgung e.V. (AKA)","arbeitsgemeinschaft kommunale und kirchliche altersversorgung e.v. (aka)"
"6128","Verband der Auslandsbanken in Deutschland e.V. / Association of Foreign Banks in Germany (VAB)","verband der auslandsbanken in deutschland e.v. / association of foreign banks in germany (vab)"
"6129","SULAYR GLOBAL SERVICE (SULAYR GS)","sulayr global service (sulayr gs)"
"6130","Consortium of European Taxonomic Facilities (CETAF)","consortium of european taxonomic facilities (cetaf)"
"6131","Fur Europe (Fur Europe)","fur europe (fur europe)"
"6132","PRIVATE INSTITUTION OF ATOMIC ENERGY POWER CORPORATION “RUSATOM INTERNATIONAL NETWORK” (RAIN)","private institution of atomic energy power corporation “rusatom international network” (rain)"
"6133","Bundesverband Wirtschaft, Verkehr und Logistik e.V. (BWVL)","bundesverband wirtschaft, verkehr und logistik e.v. (bwvl)"
"6134","TransnetBW GmbH","transnetbw gmbh"
"6135","World Snowboard Federation (WSF)","world snowboard federation (wsf)"
"6136","European Security Systems Association (ESSA) e. V. (ESSA)","european security systems association (essa) e. v. (essa)"
"6137","Red Europea de Lucha contra la Pobreza en el Estado Español (EAPN ES)","red europea de lucha contra la pobreza en el estado español (eapn es)"
"6138","OrangeGreen BV (OrangeGreen)","orangegreen bv (orangegreen)"
"6139","WePROTECT Global Alliance","weprotect global alliance"
"6140","Kromek Limited","kromek limited"
"6141","COSYLAB, laboratorij za kontrolne sisteme, d.d. (Cosylab)","cosylab, laboratorij za kontrolne sisteme, d.d. (cosylab)"
"6142","European Special Glass Association (ESGA)","european special glass association (esga)"
"6143","European Potato Processors' Association (EUPPA)","european potato processors' association (euppa)"
"6144","European Association of Credit Rating Agencies (EACRA)","european association of credit rating agencies (eacra)"
"6145","Europäisches Zentrum für Presse- und Medienfreiheit (ECPMF)","europäisches zentrum für presse- und medienfreiheit (ecpmf)"
"6146","GROUPE SOS SOLIDARITES-ASSFAM (ASSFAM)","groupe sos solidarites-assfam (assfam)"
"6147","JEDEN Z NAS","jeden z nas"
"6148","NFOQUE CONSULTING & SOLUTIONS GROUP, LIMITED COMPANY","nfoque consulting & solutions group, limited company"
"6149","ZOOMARINE ITALIA","zoomarine italia"
"6150","TalkTalk Group","talktalk group"
"6151","CEMBUREAU - The European Cement Association (CEMBUREAU)","cembureau - the european cement association (cembureau)"
"6152","Vétérinaires Sans Frontières International (VSF-Int)","vétérinaires sans frontières international (vsf-int)"
"6153","Djurens Rätt","djurens rätt"
"6154","International Platform of Insects for Food & Feed Association (IPIFF)","international platform of insects for food & feed association (ipiff)"
"6155","European Endowment for Democracy (EED)","european endowment for democracy (eed)"
"6156","Joint European Disruptive Initiative (JEDI)","joint european disruptive initiative (jedi)"
"6157","ProSpecieRara (PSR)","prospecierara (psr)"
"6158","Réseau National de Surveillance Aérobiologique (RNSA)","réseau national de surveillance aérobiologique (rnsa)"
"6159","Scientific Beta (France) SAS","scientific beta (france) sas"
"6160","Mipro Oy","mipro oy"
"6161","The Finnish Publishers Association (Suomen Kustannusyhdistys) (SKY)","the finnish publishers association (suomen kustannusyhdistys) (sky)"
"6162","Stowarzyszenie Rzezników i Wedliniarzy RP (SRW RP)","stowarzyszenie rzezników i wedliniarzy rp (srw rp)"
"6163","European Contact Group (ECG)","european contact group (ecg)"
"6164","European Electronics recyclers Association (EERA)","european electronics recyclers association (eera)"
"6165","ASOCIACIÓN NACIONAL DE GRANDES EMPRESAS DE DISTRIBUCIÓN (ANGED)","asociación nacional de grandes empresas de distribución (anged)"
"6166","ASOCIACION DE USUARIOS DE INTERNET (AUI)","asociacion de usuarios de internet (aui)"
"6167","Bureau du Tibet","bureau du tibet"
"6168","Swedish Society for Nature Conservation (SSNC)","swedish society for nature conservation (ssnc)"
"6169","Internet Service Providers Austria (ISPA)","internet service providers austria (ispa)"
"6170","Europäische Plattform für die Gewinnung unterirdischer Energie (""Earth Energy"")","europäische plattform für die gewinnung unterirdischer energie (""earth energy"")"
"6171","EuroNatur - Stiftung Europäisches Naturerbe (EuroNatur)","euronatur - stiftung europäisches naturerbe (euronatur)"
"6172","voestalpine Rail Technology GmbH","voestalpine rail technology gmbh"
"6173","Protect Our Winters Europe","protect our winters europe"
"6174","sportvisserij nederland","sportvisserij nederland"
"6175","The Cancer Prevention & Education Society (CPES)","the cancer prevention & education society (cpes)"
"6176","Izba Wydawców Prasy (IWP)","izba wydawców prasy (iwp)"
"6177","Digital Policy Alliance (EURIM) (DPA)","digital policy alliance (eurim) (dpa)"
"6178","European Medical Students’ Association (EMSA)","european medical students’ association (emsa)"
"6179","Association of Credit Card Issuers in Europe (ACCIE)","association of credit card issuers in europe (accie)"
"6180","Confederation of the European Bicycle Industry ASBL (CONEBI ASBL)","confederation of the european bicycle industry asbl (conebi asbl)"
"6181","Näringslivets Regelnämnd NNR AB (NNR)","näringslivets regelnämnd nnr ab (nnr)"
"6182","Bündnis gegen den Wucher (#StopWucher)","bündnis gegen den wucher (#stopwucher)"
"6183","Bundesverband Energiespeicher e.V. (BVES)","bundesverband energiespeicher e.v. (bves)"
"6184","International Council for Diplomacy and Dialogue (ICDD)","international council for diplomacy and dialogue (icdd)"
"6185","Innolith AG","innolith ag"
"6186","Verband der pyrotechnischen Industrie (VPI)","verband der pyrotechnischen industrie (vpi)"
"6187","FREE ICT EUROPE (FIE)","free ict europe (fie)"
"6188","ASEGRE - Asociación de Empresas Gestoras de Residuos y Recursos Especiales (ASEGRE)","asegre - asociación de empresas gestoras de residuos y recursos especiales (asegre)"
"6189","FUNDACIÓN EIFOR DE LA COMUNIDAD VALENCIANA (XABEC)","fundación eifor de la comunidad valenciana (xabec)"
"6190","Grupa Azoty S.A. (Grupa Azoty)","grupa azoty s.a. (grupa azoty)"
"6191","Savez sindikata Crne Gore/Confederation of Trade Unions of Montenegro (SSCG/CTUM)","savez sindikata crne gore/confederation of trade unions of montenegro (sscg/ctum)"
"6192","Citizens Pro Europe (CPE)","citizens pro europe (cpe)"
"6193","European Road Haulers Association (UETR)","european road haulers association (uetr)"
"6194","Industrieverband Körperpflege- und Waschmittel e.V. (IKW)","industrieverband körperpflege- und waschmittel e.v. (ikw)"
"6195","Association des Centres culturels de rencontre (ACCR)","association des centres culturels de rencontre (accr)"
"6196","Associação Portuguesa da Indústria Farmacêutica (APIFARMA)","associação portuguesa da indústria farmacêutica (apifarma)"
"6197","Asociación Provincial de Armadores de Buques de Cerco de Pontevedra (Cerco)","asociación provincial de armadores de buques de cerco de pontevedra (cerco)"
"6198","Dogs Trust","dogs trust"
"6199","European Federation of Accountants and Auditors for Small and Medium-sized Enterprises (EFAA for SMEs)","european federation of accountants and auditors for small and medium-sized enterprises (efaa for smes)"
"6200","Federation of Companion Animal Veterinary Organisations (FECAVA)","federation of companion animal veterinary organisations (fecava)"
"6201","Nätverket för elektroniska affärer (The Swedish Alliance for E-business) (NEA)","nätverket för elektroniska affärer (the swedish alliance for e-business) (nea)"
"6202","EUROPLATFORMS EEIG","europlatforms eeig"
"6203","Germanwatch","germanwatch"
"6204","SwissHoldings","swissholdings"
"6205","Amis de la Terre France","amis de la terre france"
"6206","Asociación Española de la Industria de panadería, bollería y pastelería (ASEMAC)","asociación española de la industria de panadería, bollería y pastelería (asemac)"
"6207","Associazione sindacale nazionale dei datori di lavoro dei collaboratori familiari (ASSINDATCOLF)","associazione sindacale nazionale dei datori di lavoro dei collaboratori familiari (assindatcolf)"
"6208","Asociación Provincial de Armadores de Buques de Pesca del Litoral Español y Sur de Portugal de Pontevedra (ARPOSUR)","asociación provincial de armadores de buques de pesca del litoral español y sur de portugal de pontevedra (arposur)"
"6209","Slovensko zavarovalno združenje (SZZ)","slovensko zavarovalno združenje (szz)"
"6210","Verbond van Belgische Tuinbouwcoöperaties (VBT)","verbond van belgische tuinbouwcoöperaties (vbt)"
"6211","Drivkraft Sverige AB (Drivkraft Sverige)","drivkraft sverige ab (drivkraft sverige)"
"6212","#NotInOurGame Association (#NIOG)","#notinourgame association (#niog)"
"6213","B'nai B'rith Europe (BBE)","b'nai b'rith europe (bbe)"
"6214","Hotelverband Deutschland (IHA) e.V. (IHA)","hotelverband deutschland (iha) e.v. (iha)"
"6215","Benelux Association for Artificial Intelligence (BNVKI)","benelux association for artificial intelligence (bnvki)"
"6216","Algemene Nederlandse Vereniging van Eierhandelaren en Eiproductfabrikanten (Anevei)","algemene nederlandse vereniging van eierhandelaren en eiproductfabrikanten (anevei)"
"6217","Airlines for Europe (A4E)","airlines for europe (a4e)"
"6218","Chamber of Commerce Belgium Luxembourg South-East Europe (CCBLSEE)","chamber of commerce belgium luxembourg south-east europe (ccblsee)"
"6219","Fédération Nationale des Transports de Voyageurs (FNTV)","fédération nationale des transports de voyageurs (fntv)"
"6220","German Renewable Energy Federation (BEE)","german renewable energy federation (bee)"
"6221","Open Search Foundation e.V. (OSF)","open search foundation e.v. (osf)"
"6222","Council of Occupational Therapists for the European Countries (COTEC)","council of occupational therapists for the european countries (cotec)"
"6223","Libraries and Archives Copyright Alliance (LACA)","libraries and archives copyright alliance (laca)"
"6224","Dutch Produce Association (DPA)","dutch produce association (dpa)"
